"participant","group","trial_no","time","recalled","word","recall_acc","recall_rt","study_pos","test_pos","image","item_type","id"
"571de12713b1b70012be47f6","older",13,1,"FAMILY","FAMILY",TRUE,2.07,3,1,"dice","match",1069
"571de12713b1b70012be47f6","older",13,2,"COPS","COPS",TRUE,2.356,0,2,"hanger","old-new",1069
"571de12713b1b70012be47f6","older",13,3,"ROOF","ROOF",TRUE,1.886,2,3,"suitcase","mis-match",1069
"571de12713b1b70012be47f6","older",13,4,"ESTATE","ESTATE",TRUE,1.721,1,4,"diamond","new-new",1069
"571de12713b1b70012be47f6","older",14,1,"SYSTEM","SYSTEM",TRUE,2.388,1,1,"basket","mis-match",1070
"571de12713b1b70012be47f6","older",14,2,"DOZEN","DOZEN",TRUE,2.202,0,2,"cart","match",1070
"571de12713b1b70012be47f6","older",14,3,"PHOTO","PHOTO",TRUE,1.652,2,3,"dart","new-new",1070
"571de12713b1b70012be47f6","older",14,4,"ADVICE","ADVICE",TRUE,2.07,3,4,"razor","old-new",1070
"571de12713b1b70012be47f6","older",15,1,"SALE","SALE",TRUE,2.803,1,1,"megaphone","new-new",1071
"571de12713b1b70012be47f6","older",15,2,"CANDY","CANDY",TRUE,1.851,0,2,"taxi","new-new",1071
"571de12713b1b70012be47f6","older",15,3,"DIRT","DIRT",TRUE,1.784,2,3,"scissors","new-new",1071
"571de12713b1b70012be47f6","older",15,4,"FLIGHT","FLIGHT",TRUE,2.105,3,4,"bolt","new-new",1071
"571de12713b1b70012be47f6","older",16,1,"LIFE","LIFE",TRUE,2.085,0,1,"carrot","match",1072
"571de12713b1b70012be47f6","older",16,2,"SAKE","SAKE",TRUE,2.135,2,2,"spoon","new-new",1072
"571de12713b1b70012be47f6","older",16,3,"RIVER","RIVER",TRUE,3.506,1,3,"sun","mis-match",1072
"571de12713b1b70012be47f6","older",16,4,"PRINCE","PRINCE",TRUE,1.702,3,4,"perfume","old-new",1072
