"participant","trial_no","group","time","recalled","word","recall_acc","recall_rt","study_pos","test_pos","image","item_type","id","pif"
"559d9916fdf99b1e2b2dc6b8",1,"older",1,"WOMAN","THING",FALSE,3.51389,2,1,"runner","mis-match",1185,"non-match"
"559d9916fdf99b1e2b2dc6b8",1,"older",2,"?","DIRT",FALSE,1.467705,0,2,"mirror","new-new",1185,"new-new"
"559d9916fdf99b1e2b2dc6b8",1,"older",3,"?","FRIEND",FALSE,3.21867,3,3,"taxi","old-new",1185,"non-match"
"559d9916fdf99b1e2b2dc6b8",1,"older",4,"?","JUNGLE",FALSE,0.881025,1,4,"anchor","match",1185,"match"
"559d9916fdf99b1e2b2dc6b8",2,"older",1,"?","ARTIST",FALSE,0.896505,3,1,"gorilla","old-new",1186,"non-match"
"559d9916fdf99b1e2b2dc6b8",2,"older",2,"?","FLIGHT",FALSE,1.25047,0,2,"tyre","match",1186,"match"
"559d9916fdf99b1e2b2dc6b8",2,"older",3,"?","YEAR",FALSE,1.03423,1,3,"telephone","mis-match",1186,"non-match"
"559d9916fdf99b1e2b2dc6b8",2,"older",4,"?","CANDY",FALSE,0.799105,2,4,"cart","new-new",1186,"new-new"
"559d9916fdf99b1e2b2dc6b8",3,"older",1,"?","PLENTY",FALSE,9.99053,1,1,"diamond","mis-match",1187,"non-match"
"559d9916fdf99b1e2b2dc6b8",3,"older",2,"?","YARD",FALSE,9.99068,3,2,"mushroom","new-new",1187,"new-new"
"559d9916fdf99b1e2b2dc6b8",3,"older",3,"?","CLOCK",FALSE,9.99092,0,3,"bolt","match",1187,"match"
"559d9916fdf99b1e2b2dc6b8",3,"older",4,"?","KIND",FALSE,0.54767,2,4,"perfume","old-new",1187,"non-match"
"559d9916fdf99b1e2b2dc6b8",4,"older",1,"?","NATION",FALSE,2.69951,0,1,"pepper","new-new",1188,"new-new"
"559d9916fdf99b1e2b2dc6b8",4,"older",2,"DANGER","DANGER",TRUE,2.584675,2,2,"skateboard","new-new",1188,"new-new"
"559d9916fdf99b1e2b2dc6b8",4,"older",3,"POLICY","POLICY",TRUE,4.21981,1,3,"frame","new-new",1188,"new-new"
"559d9916fdf99b1e2b2dc6b8",4,"older",4,"?","RECORD",FALSE,1.265775,3,4,"sun","new-new",1188,"new-new"
"559d9916fdf99b1e2b2dc6b8",5,"older",1,"CASINO","CASINO",TRUE,4.48445,2,1,"map","mis-match",1189,"non-match"
"559d9916fdf99b1e2b2dc6b8",5,"older",2,"?","APPLE",FALSE,1.14841,1,2,"stool","old-new",1189,"non-match"
"559d9916fdf99b1e2b2dc6b8",5,"older",3,"?","SPEECH",FALSE,0.817105,3,3,"pear","new-new",1189,"new-new"
"559d9916fdf99b1e2b2dc6b8",5,"older",4,"?","SAKE",FALSE,0.716515,0,4,"ring","match",1189,"match"
"559d9916fdf99b1e2b2dc6b8",6,"older",1,"TEAR","TEAR",TRUE,3.750165,3,1,"calendar","new-new",1190,"new-new"
"559d9916fdf99b1e2b2dc6b8",6,"older",2,"?","BELT",FALSE,1.35012,1,2,"wheelbarrow","old-new",1190,"non-match"
"559d9916fdf99b1e2b2dc6b8",6,"older",3,"?","ADVICE",FALSE,0.632905,2,3,"stamp","mis-match",1190,"non-match"
"559d9916fdf99b1e2b2dc6b8",6,"older",4,"?","LOTS",FALSE,0.51609,0,4,"microphone","match",1190,"match"
