"Words","Images","Cos","File"
"thing","taxi",-0.177259344438629,"PICTURE_302"
"flesh","taxi",-0.0829750680677613,"PICTURE_302"
"glass","taxi",0.0129972853199918,"PICTURE_302"
"friend","taxi",0.0119023442456407,"PICTURE_302"
"casino","taxi",-0.0704164399949616,"PICTURE_302"
"flight","taxi",0.252400446333555,"PICTURE_302"
"women","taxi",0.0475543877096356,"PICTURE_302"
"river","taxi",-0.0640652559285898,"PICTURE_302"
"family","taxi",-0.0177980032055941,"PICTURE_302"
"jungle","taxi",-0.022627858483826,"PICTURE_302"
"estate","taxi",-0.044954417810507,"PICTURE_302"
"ideas","taxi",0.016306612194556,"PICTURE_302"
"photo","taxi",-0.0380693464995513,"PICTURE_302"
"candy","taxi",0.0994805509643061,"PICTURE_302"
"pills","taxi",0.00246221015898545,"PICTURE_302"
"cops","taxi",0.0439670195896497,"PICTURE_302"
"policy","taxi",-0.0252136560903071,"PICTURE_302"
"prince","taxi",0.0397349999807923,"PICTURE_302"
"spirit","taxi",0.0165132420664939,"PICTURE_302"
"sale","taxi",-0.0459606170544194,"PICTURE_302"
"penny","taxi",0.0181872735473841,"PICTURE_302"
"bath","taxi",-0.0109586768098744,"PICTURE_302"
"system","taxi",-0.01751227524557,"PICTURE_302"
"year","taxi",-0.0105194967818241,"PICTURE_302"
"series","taxi",0.0653319220398205,"PICTURE_302"
"dozen","taxi",-0.0390249328528397,"PICTURE_302"
"life","taxi",0.00855095967508561,"PICTURE_302"
"client","taxi",0.0287223581405596,"PICTURE_302"
"dirt","taxi",-0.0414309240632049,"PICTURE_302"
"boys","taxi",-0.113835347114934,"PICTURE_302"
"mile","taxi",-0.0603883419326691,"PICTURE_302"
"apple","taxi",-0.0157821505067532,"PICTURE_302"
"plenty","taxi",-0.0187406374092376,"PICTURE_302"
"lots","taxi",-0.025116881627114,"PICTURE_302"
"tear","taxi",0.071438446451522,"PICTURE_302"
"food","taxi",0.023418740493504,"PICTURE_302"
"speech","taxi",0.0116767464182007,"PICTURE_302"
"body","taxi",-0.0263603122003653,"PICTURE_302"
"clock","taxi",-0.0778801664228624,"PICTURE_302"
"feet","taxi",-0.0275640783216979,"PICTURE_302"
"letter","taxi",-0.00336064728531609,"PICTURE_302"
"beauty","taxi",0.0430280859697916,"PICTURE_302"
"belt","taxi",0.120348120590168,"PICTURE_302"
"artist","taxi",-0.00758651360999741,"PICTURE_302"
"cars","taxi",0.214034290846099,"PICTURE_302"
"miller","taxi",0.0415518566419042,"PICTURE_302"
"honey","taxi",0.0178140804757166,"PICTURE_302"
"month","taxi",0.167300935107908,"PICTURE_302"
"shots","taxi",-0.0542413498798534,"PICTURE_302"
"gods","taxi",-0.0123652925626582,"PICTURE_302"
"weapon","taxi",0.0169764016080121,"PICTURE_302"
"record","taxi",0.0196936179352858,"PICTURE_302"
"hotel","taxi",0.285610671941131,"PICTURE_302"
"danger","taxi",0.0521284654845186,"PICTURE_302"
"agent","taxi",-0.0523568990376064,"PICTURE_302"
"moment","taxi",0.143551956424247,"PICTURE_302"
"nation","taxi",-0.0401327716929003,"PICTURE_302"
"house","taxi",-0.0534428315771161,"PICTURE_302"
"toilet","taxi",0.0624612890219198,"PICTURE_302"
"girl","taxi",0.0135288333844203,"PICTURE_302"
"advice","taxi",-0.11289374645836,"PICTURE_302"
"writer","taxi",0.0760472008605304,"PICTURE_302"
"roof","taxi",-0.00195375610629084,"PICTURE_302"
"area","taxi",0.0699250602363289,"PICTURE_302"
"style","taxi",0.0166329531783348,"PICTURE_302"
"leader","taxi",0.0302146922134613,"PICTURE_302"
"sake","taxi",0.0759071129168829,"PICTURE_302"
"night","taxi",-0.0437190975363059,"PICTURE_302"
"yard","taxi",-0.0970399573395809,"PICTURE_302"
"demon","taxi",-0.0129579492032271,"PICTURE_302"
"valley","taxi",-0.0483323759985893,"PICTURE_302"
"death","taxi",0.01189543159616,"PICTURE_302"
"dude","taxi",0.127504859103901,"PICTURE_302"
"kind","taxi",0.0253017154155911,"PICTURE_302"
"dean","taxi",-0.00439092766752886,"PICTURE_302"
"ocean","taxi",-0.00922041748643394,"PICTURE_302"
"punk","taxi",0.0755109236160028,"PICTURE_302"
"witch","taxi",-0.0162320723526661,"PICTURE_302"
"season","taxi",0.0324230969850842,"PICTURE_302"
"member","taxi",-0.0268127267019091,"PICTURE_302"
"health","taxi",-0.00595436031480731,"PICTURE_302"
"pizza","taxi",-0.0057109554642401,"PICTURE_302"
"unit","taxi",-0.0262239968128032,"PICTURE_302"
"outfit","taxi",0.0706028411507966,"PICTURE_302"
"devil","taxi",-0.0259740091072836,"PICTURE_302"
"county","taxi",-0.0899166427193652,"PICTURE_302"
