file,image,word,list_no,block_no
stimuli/images/PICTURE_177.png,mushroom,CARS,4,0
stimuli/images/PICTURE_504.png,wheel,HOUSE,4,2
stimuli/images/PICTURE_405.png,anchor,YEAR,4,1
stimuli/images/PICTURE_470.png,motorbike,CASINO,4,0
stimuli/images/PICTURE_32.png,crown,KIND,4,1
stimuli/images/PICTURE_308.png,dice,FAMILY,4,1
stimuli/images/PICTURE_95.png,suitcase,NIGHT,4,2
stimuli/images/PICTURE_509.png,telephone,APPLE,4,2
stimuli/images/PICTURE_491.png,rug,SERIES,4,2
stimuli/images/PICTURE_215.png,boot,PLENTY,4,0
stimuli/images/PICTURE_57.png,stamp,MOMENT,4,1
stimuli/images/PICTURE_68.png,candle,ROOF,4,1
stimuli/images/PICTURE_297.png,aeroplane,RIVER,4,1
stimuli/images/PICTURE_233.png,salt,WOMEN,4,0
stimuli/images/PICTURE_248.png,cart,DOZEN,4,0
stimuli/images/PICTURE_403.png,cathedral,RIVER,5,1
stimuli/images/PICTURE_470.png,motorbike,MOMENT,5,2
stimuli/images/PICTURE_123.png,dart,ADVICE,5,0
stimuli/images/PICTURE_177.png,mushroom,WRITER,5,1
stimuli/images/PICTURE_233.png,salt,LOTS,5,1
stimuli/images/PICTURE_654.png,pencil,YEAR,5,2
stimuli/images/PICTURE_667.png,daisy,PLENTY,5,0
stimuli/images/PICTURE_469.png,stool,LETTER,5,0
stimuli/images/PICTURE_688.png,runner,CLOCK,5,2
stimuli/images/PICTURE_744.png,ring,SYSTEM,5,0
stimuli/images/PICTURE_677.png,map,APPLE,5,1
stimuli/images/PICTURE_95.png,suitcase,HONEY,5,1
stimuli/images/PICTURE_68.png,candle,MILE,5,0
stimuli/images/PICTURE_32.png,crown,JUNGLE,5,0
stimuli/images/PICTURE_487.png,basket,GIRL,5,1
stimuli/images/PICTURE_308.png,dice,ESTATE,5,0
stimuli/images/PICTURE_215.png,boot,LEADER,5,2
stimuli/images/PICTURE_750.png,kettle,POLICY,5,2
stimuli/images/PICTURE_383.png,coin,SERIES,5,1
stimuli/images/PICTURE_708.png,monkey,VALLEY,5,2
stimuli/images/PICTURE_356.png,pawn,CANDY,5,2
stimuli/images/PICTURE_675.png,windmill,SALE,5,1
stimuli/images/PICTURE_85.png,diamond,TOILET,5,1
stimuli/images/PICTURE_208.png,microphone,THING,5,0
stimuli/images/PICTURE_504.png,wheel,ARTIST,5,1
stimuli/images/PICTURE_692.png,cherry,DUDE,5,2
stimuli/images/PICTURE_453.png,scissors,FAMILY,5,2
stimuli/images/PICTURE_509.png,telephone,MILLER,5,2
stimuli/images/PICTURE_327.png,helmet,BEAUTY,5,0
stimuli/images/PICTURE_380.png,gorilla,DEATH,5,0
stimuli/images/PICTURE_487.png,basket,ROOF,6,2
stimuli/images/PICTURE_297.png,aeroplane,BODY,6,2
stimuli/images/PICTURE_744.png,ring,WEAPON,6,1
stimuli/images/PICTURE_68.png,candle,MILE,6,1
stimuli/images/PICTURE_504.png,wheel,COPS,6,1
stimuli/images/PICTURE_123.png,dart,ADVICE,6,0
stimuli/images/PICTURE_147.png,hanger,MOMENT,6,0
stimuli/images/PICTURE_57.png,stamp,CANDY,6,2
stimuli/images/PICTURE_467.png,peg,POLICY,6,1
stimuli/images/PICTURE_677.png,map,FAMILY,6,2
stimuli/images/PICTURE_311.png,razor,TOILET,6,2
stimuli/images/PICTURE_340.png,mirror,VALLEY,6,1
stimuli/images/PICTURE_42.png,pear,BOYS,6,1
stimuli/images/PICTURE_2.png,tyre,YARD,6,2
stimuli/images/PICTURE_95.png,suitcase,MILLER,6,1
stimuli/images/PICTURE_296.png,bolt,LIFE,6,1
stimuli/images/PICTURE_32.png,crown,LETTER,6,2
stimuli/images/PICTURE_380.png,gorilla,PHOTO,6,0
stimuli/images/PICTURE_708.png,monkey,RECORD,6,1
stimuli/images/PICTURE_208.png,microphone,MONTH,6,0
stimuli/images/PICTURE_308.png,dice,KIND,6,0
stimuli/images/PICTURE_108.png,calendar,FLIGHT,6,1
stimuli/images/PICTURE_655.png,megaphone,SALE,6,2
stimuli/images/PICTURE_356.png,pawn,DANGER,6,0
stimuli/images/PICTURE_405.png,anchor,JUNGLE,6,2
stimuli/images/PICTURE_453.png,scissors,PLENTY,6,0
stimuli/images/PICTURE_491.png,rug,WRITER,6,0
stimuli/images/PICTURE_348.png,pepper,DUDE,6,2
stimuli/images/PICTURE_160.png,wheelbarrow,FEET,6,0
stimuli/images/PICTURE_449.png,bench,THING,6,0
