"consent_key.keys","consent_key.rt","recalled","recalled_rt","recall_acc","example_recall.thisRepN","example_recall.thisTrialN","example_recall.thisN","example_recall.thisIndex","example_recall.ran","file","word","participant","date","expName","psychopyVersion","OS","frameRate","STUDY_ID","SESSION_ID","list","prac_learn_study_loop.thisRepN","prac_learn_study_loop.thisTrialN","prac_learn_study_loop.thisN","prac_learn_study_loop.thisIndex","prac_learn_study_loop.ran","image","prac_learn_test_loop.thisRepN","prac_learn_test_loop.thisTrialN","prac_learn_test_loop.thisN","prac_learn_test_loop.thisIndex","prac_learn_test_loop.ran","learn_study_loop.thisRepN","learn_study_loop.thisTrialN","learn_study_loop.thisN","learn_study_loop.thisIndex","learn_study_loop.ran","list_no","block_no","learn_test_loop.thisRepN","learn_test_loop.thisTrialN","learn_test_loop.thisN","learn_test_loop.thisIndex","learn_test_loop.ran","learn_blocks.thisRepN","learn_blocks.thisTrialN","learn_blocks.thisN","learn_blocks.thisIndex","learn_blocks.ran","block_csv","key_resp_13.keys","key_resp_13.rt","learn_blocks_loop.thisRepN","learn_blocks_loop.thisTrialN","learn_blocks_loop.thisN","learn_blocks_loop.thisIndex","learn_blocks_loop.ran","final_learn_test.thisRepN","final_learn_test.thisTrialN","final_learn_test.thisN","final_learn_test.thisIndex","final_learn_test.ran","s_im1","s_im2","s_im3","s_im4","s_im5","s_im6","s_im7","s_im8","s_im1pos","s_im2pos","s_im3pos","s_im4pos","s_im5pos","s_im6pos","s_im7pos","s_im8pos","s_tarright","search_resp.keys","search_resp.rt","search_loop.thisRepN","search_loop.thisTrialN","search_loop.thisN","search_loop.thisIndex","search_loop.ran","prac_wm_test_loop.thisRepN","prac_wm_test_loop.thisTrialN","prac_wm_test_loop.thisN","prac_wm_test_loop.thisIndex","prac_wm_test_loop.ran","wm_recalled1","wm_recall_rt1","wm_probed1","wm_recall_acc1","wm_recalled2","wm_recall_rt2","wm_probed2","wm_recall_acc2","wm_recalled3","wm_recall_rt3","wm_probed3","wm_recall_acc3","wm_recalled4","wm_recall_rt4","wm_probed4","wm_recall_acc4","prac_wm_trial_loop.thisRepN","prac_wm_trial_loop.thisTrialN","prac_wm_trial_loop.thisN","prac_wm_trial_loop.thisIndex","prac_wm_trial_loop.ran","word1","image1","file1","item_type1","word2","image2","file2","item_type2","word4","image4","file4","item_type4","word3","image3","file3","item_type3","wm_test_loop.thisRepN","wm_test_loop.thisTrialN","wm_test_loop.thisN","wm_test_loop.thisIndex","wm_test_loop.ran","wm_trial_loop.thisRepN","wm_trial_loop.thisTrialN","wm_trial_loop.thisN","wm_trial_loop.thisIndex","wm_trial_loop.ran","group","section","wm_trial","s_respright","accuracy"
"",NA,"",NA,NA,NA,NA,NA,NA,NA,"","","5ee7a8ab87d5560568bc2dca","2020-08-13_12h30.56.320","proactive2","2020.1.2","MacIntel",60,"5f341be081b9052c55068110","5f35244c1b69bd47b65e5938",4,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"stimuli/search/t.png","stimuli/search/l.png","stimuli/search/t.png","stimuli/search/b.png","stimuli/search/b.png","stimuli/search/t.png","stimuli/search/b.png","stimuli/search/t.png","[-0.23833333333333334,0.35519025670363574]","[-0.17833333333333334,0.37155626842089534]","[0.17833333333333334,0.37241586328617227]","[0.23833333333333334,0.3441099316364552]","[0.17833333333333334,-0.40356154363833985]","[0.23833333333333334,-0.3562509299399751]","[-0.23833333333333334,-0.3386224249571818]","[-0.17833333333333334,-0.363817186511764]",0,0,1.508475,4,0,4,0,1,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"younger","search_alone",NA,1,0
"",NA,"",NA,NA,NA,NA,NA,NA,NA,"","","5ee7a8ab87d5560568bc2dca","2020-08-13_12h30.56.320","proactive2","2020.1.2","MacIntel",60,"5f341be081b9052c55068110","5f35244c1b69bd47b65e5938",4,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"stimuli/search/t.png","stimuli/search/b.png","stimuli/search/t.png","stimuli/search/b.png","stimuli/search/b.png","stimuli/search/t.png","stimuli/search/b.png","stimuli/search/r.png","[-0.23833333333333334,0.35862304814624396]","[-0.17833333333333334,0.3420738179713717]","[0.17833333333333334,0.3333163406308454]","[0.23833333333333334,0.3682081246529681]","[0.17833333333333334,-0.32892350504590895]","[0.23833333333333334,-0.40396142172866034]","[-0.23833333333333334,-0.3736106445659684]","[-0.17833333333333334,-0.396403515281471]",1,0,1.506905,5,0,5,0,1,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"younger","search_alone",NA,1,1
"",NA,"",NA,NA,NA,NA,NA,NA,NA,"","","5ee7a8ab87d5560568bc2dca","2020-08-13_12h30.56.320","proactive2","2020.1.2","MacIntel",60,"5f341be081b9052c55068110","5f35244c1b69bd47b65e5938",4,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"stimuli/search/t.png","stimuli/search/b.png","stimuli/search/t.png","stimuli/search/b.png","stimuli/search/b.png","stimuli/search/l.png","stimuli/search/b.png","stimuli/search/t.png","[-0.23833333333333334,0.3895874961395441]","[-0.17833333333333334,0.4086992525710407]","[0.17833333333333334,0.37194588037592624]","[0.23833333333333334,0.3277479724740424]","[0.17833333333333334,-0.36929150681005357]","[0.23833333333333334,-0.3909498269090857]","[-0.23833333333333334,-0.34399358156793897]","[-0.17833333333333334,-0.36770189242231727]",0,1,1.792695,6,0,6,0,1,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"younger","search_alone",NA,0,1
"",NA,"",NA,NA,NA,NA,NA,NA,NA,"","","5ee7a8ab87d5560568bc2dca","2020-08-13_12h30.56.320","proactive2","2020.1.2","MacIntel",60,"5f341be081b9052c55068110","5f35244c1b69bd47b65e5938",4,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"stimuli/search/t.png","stimuli/search/b.png","stimuli/search/b.png","stimuli/search/t.png","stimuli/search/b.png","stimuli/search/r.png","stimuli/search/t.png","stimuli/search/b.png","[-0.23833333333333334,0.3508986504292913]","[-0.17833333333333334,0.3603169037372327]","[0.17833333333333334,0.4104791944726021]","[0.23833333333333334,0.3686539735802664]","[0.17833333333333334,-0.33675012679875715]","[0.23833333333333334,-0.3951623276961476]","[-0.23833333333333334,-0.3756295487912665]","[-0.17833333333333334,-0.3953319759115811]",1,0,0.825445,7,0,7,0,1,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"younger","search_alone",NA,1,1
"",NA,"",NA,NA,NA,NA,NA,NA,NA,"","","5ee7a8ab87d5560568bc2dca","2020-08-13_12h30.56.320","proactive2","2020.1.2","MacIntel",60,"5f341be081b9052c55068110","5f35244c1b69bd47b65e5938",4,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"stimuli/search/r.png","stimuli/search/b.png","stimuli/search/b.png","stimuli/search/t.png","stimuli/search/b.png","stimuli/search/t.png","stimuli/search/t.png","stimuli/search/b.png","[-0.23833333333333334,0.4014089625926214]","[-0.17833333333333334,0.3451926568201814]","[0.17833333333333334,0.41012215715728145]","[0.23833333333333334,0.3608141137003914]","[0.17833333333333334,-0.3304065455765334]","[0.23833333333333334,-0.40865016291233225]","[-0.23833333333333334,-0.41490734094276327]","[-0.17833333333333334,-0.35915020344648524]",1,0,1.24774,8,0,8,0,1,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"younger","search_alone",NA,1,1
"",NA,"",NA,NA,NA,NA,NA,NA,NA,"","","5ee7a8ab87d5560568bc2dca","2020-08-13_12h30.56.320","proactive2","2020.1.2","MacIntel",60,"5f341be081b9052c55068110","5f35244c1b69bd47b65e5938",4,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"stimuli/search/b.png","stimuli/search/t.png","stimuli/search/b.png","stimuli/search/t.png","stimuli/search/t.png","stimuli/search/b.png","stimuli/search/b.png","stimuli/search/r.png","[-0.23833333333333334,0.33626991373754317]","[-0.17833333333333334,0.3355318994691034]","[0.17833333333333334,0.38885978739529]","[0.23833333333333334,0.39013013866118784]","[0.17833333333333334,-0.3566716513338015]","[0.23833333333333334,-0.38361178441829474]","[-0.23833333333333334,-0.413382645808852]","[-0.17833333333333334,-0.3779056114071058]",1,0,1.064415,9,0,9,0,1,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"younger","search_alone",NA,1,1
"",NA,"",NA,NA,NA,NA,NA,NA,NA,"","","5ee7a8ab87d5560568bc2dca","2020-08-13_12h30.56.320","proactive2","2020.1.2","MacIntel",60,"5f341be081b9052c55068110","5f35244c1b69bd47b65e5938",4,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"stimuli/search/t.png","stimuli/search/b.png","stimuli/search/t.png","stimuli/search/l.png","stimuli/search/t.png","stimuli/search/b.png","stimuli/search/b.png","stimuli/search/t.png","[-0.23833333333333334,0.3700926150724083]","[-0.17833333333333334,0.34488312336860244]","[0.17833333333333334,0.366065995957207]","[0.23833333333333334,0.3381165412082834]","[0.17833333333333334,-0.38119593329003476]","[0.23833333333333334,-0.3488862686549046]","[-0.23833333333333334,-0.32531300566455973]","[-0.17833333333333334,-0.4032016923692758]",0,1,1.04936,10,0,10,0,1,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"younger","search_alone",NA,0,1
"",NA,"",NA,NA,NA,NA,NA,NA,NA,"","","5ee7a8ab87d5560568bc2dca","2020-08-13_12h30.56.320","proactive2","2020.1.2","MacIntel",60,"5f341be081b9052c55068110","5f35244c1b69bd47b65e5938",4,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"stimuli/search/b.png","stimuli/search/t.png","stimuli/search/b.png","stimuli/search/t.png","stimuli/search/t.png","stimuli/search/l.png","stimuli/search/b.png","stimuli/search/t.png","[-0.23833333333333334,0.38194772207054273]","[-0.17833333333333334,0.41366224119018097]","[0.17833333333333334,0.39415679955252864]","[0.23833333333333334,0.3373138212691535]","[0.17833333333333334,-0.40900450709026637]","[0.23833333333333334,-0.41378602386614644]","[-0.23833333333333334,-0.3992096602208484]","[-0.17833333333333334,-0.3876440204171463]",0,1,1.66398,11,0,11,0,1,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"younger","search_alone",NA,0,1
"",NA,"",NA,NA,NA,NA,NA,NA,NA,"","","5ee7a8ab87d5560568bc2dca","2020-08-13_12h30.56.320","proactive2","2020.1.2","MacIntel",60,"5f341be081b9052c55068110","5f35244c1b69bd47b65e5938",4,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"stimuli/search/b.png","stimuli/search/t.png","stimuli/search/b.png","stimuli/search/t.png","stimuli/search/t.png","stimuli/search/b.png","stimuli/search/t.png","stimuli/search/l.png","[-0.23833333333333334,0.40926419272554665]","[-0.17833333333333334,0.35949605303045207]","[0.17833333333333334,0.3857682147796321]","[0.23833333333333334,0.3797327311426688]","[0.17833333333333334,-0.33897402940362603]","[0.23833333333333334,-0.39071183238403095]","[-0.23833333333333334,-0.4087626891930875]","[-0.17833333333333334,-0.3507244395530436]",0,1,1.700765,12,0,12,0,1,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"younger","search_alone",NA,0,1
"",NA,"",NA,NA,NA,NA,NA,NA,NA,"","","5ee7a8ab87d5560568bc2dca","2020-08-13_12h30.56.320","proactive2","2020.1.2","MacIntel",60,"5f341be081b9052c55068110","5f35244c1b69bd47b65e5938",4,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"stimuli/search/t.png","stimuli/search/b.png","stimuli/search/t.png","stimuli/search/b.png","stimuli/search/b.png","stimuli/search/r.png","stimuli/search/b.png","stimuli/search/t.png","[-0.23833333333333334,0.36308182613543594]","[-0.17833333333333334,0.33974081228615194]","[0.17833333333333334,0.41347448733419656]","[0.23833333333333334,0.3621858663012718]","[0.17833333333333334,-0.3777119035869217]","[0.23833333333333334,-0.35866432877524734]","[-0.23833333333333334,-0.3471691864970745]","[-0.17833333333333334,-0.40692574674929016]",1,0,1.510215,13,0,13,0,1,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"younger","search_alone",NA,1,1
"",NA,"",NA,NA,NA,NA,NA,NA,NA,"","","5ee7a8ab87d5560568bc2dca","2020-08-13_12h30.56.320","proactive2","2020.1.2","MacIntel",60,"5f341be081b9052c55068110","5f35244c1b69bd47b65e5938",4,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"stimuli/search/t.png","stimuli/search/b.png","stimuli/search/t.png","stimuli/search/b.png","stimuli/search/r.png","stimuli/search/t.png","stimuli/search/b.png","stimuli/search/t.png","[-0.23833333333333334,0.3365170241015841]","[-0.17833333333333334,0.40672824575814764]","[0.17833333333333334,0.3607393085010495]","[0.23833333333333334,0.366885064482237]","[0.17833333333333334,-0.395484830617469]","[0.23833333333333334,-0.344534420819375]","[-0.23833333333333334,-0.3548868339717496]","[-0.17833333333333334,-0.3793742133170384]",1,0,1.374045,14,0,14,0,1,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"younger","search_alone",NA,1,1
