"Words","Images","Cos","File"
"death","burger",-0.06342467054946,"PICTURE_11"
"daddy","burger",-0.098710110225027,"PICTURE_11"
"county","burger",-0.138794375719941,"PICTURE_11"
"couch","burger",-0.00407514212536533,"PICTURE_11"
"coffee","burger",0.00862070987388451,"PICTURE_11"
"cole","burger",-0.127587352781336,"PICTURE_11"
"cliff","burger",-0.029708134294883,"PICTURE_11"
"chest","burger",0.0104275977266566,"PICTURE_11"
"chick","burger",0.082139277265188,"PICTURE_11"
"child","burger",0.030027402478653,"PICTURE_11"
"choice","burger",0.121212785560007,"PICTURE_11"
"cell","burger",-0.0353120527711194,"PICTURE_11"
"card","burger",0.0151928308576253,"PICTURE_11"
"castle","burger",-0.00865749152821698,"PICTURE_11"
"cage","burger",0.0136468705326081,"PICTURE_11"
"cancer","burger",0.0435396437030338,"PICTURE_11"
"buddy","burger",-0.00358835062549988,"PICTURE_11"
"bull","burger",0.0412282812241322,"PICTURE_11"
"booth","burger",0.0523086156297342,"PICTURE_11"
"breath","burger",-0.022175664507087,"PICTURE_11"
"blood","burger",-0.00647481935325719,"PICTURE_11"
"boat","burger",-0.0361190623594148,"PICTURE_11"
"bell","burger",-0.00963659284497913,"PICTURE_11"
"bird","burger",0.0328170121403819,"PICTURE_11"
"birth","burger",-0.0795770671063559,"PICTURE_11"
"beach","burger",-0.000545722676128173,"PICTURE_11"
"beast","burger",-0.0390532712469338,"PICTURE_11"
"ball","burger",-0.0180999950935134,"PICTURE_11"
"anyone","burger",-0.0153725981875517,"PICTURE_11"
"area","burger",0.0134152569229819,"PICTURE_11"
"angel","burger",-0.0338011137501176,"PICTURE_11"
"animal","burger",-0.0467356800286281,"PICTURE_11"
"action","burger",0.040464688143712,"PICTURE_11"
"advice","burger",0.0137925596564019,"PICTURE_11"
"affair","burger",0.0912292576955938,"PICTURE_11"
"zone","boxer",0.0519370214324207,"PICTURE_21"
"wood","boxer",0.00449730378005157,"PICTURE_21"
"word","boxer",-0.0323894716412454,"PICTURE_21"
"world","boxer",-0.0143054260283068,"PICTURE_21"
"writer","boxer",0.0315961159871725,"PICTURE_21"
"yard","boxer",0.180852468542855,"PICTURE_21"
"witch","boxer",-0.0769750608294698,"PICTURE_21"
"wallet","boxer",-0.054763071386856,"PICTURE_21"
"walls","boxer",-0.0444935600121312,"PICTURE_21"
"week","boxer",0.0353958871776389,"PICTURE_21"
"victim","boxer",0.0473862724039977,"PICTURE_21"
"vision","boxer",0.0360401125346363,"PICTURE_21"
"valley","boxer",-0.0757713038356385,"PICTURE_21"
