consent_key.keys,consent_key.rt,recalled,recalled_rt,recall_acc,example_recall.thisRepN,example_recall.thisTrialN,example_recall.thisN,example_recall.thisIndex,example_recall.ran,file,word,participant,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,list,prac_learn_study_loop.thisRepN,prac_learn_study_loop.thisTrialN,prac_learn_study_loop.thisN,prac_learn_study_loop.thisIndex,prac_learn_study_loop.ran,image,prac_learn_test_loop.thisRepN,prac_learn_test_loop.thisTrialN,prac_learn_test_loop.thisN,prac_learn_test_loop.thisIndex,prac_learn_test_loop.ran,learn_study_loop.thisRepN,learn_study_loop.thisTrialN,learn_study_loop.thisN,learn_study_loop.thisIndex,learn_study_loop.ran,list_no,block_no,learn_test_loop.thisRepN,learn_test_loop.thisTrialN,learn_test_loop.thisN,learn_test_loop.thisIndex,learn_test_loop.ran,learn_blocks.thisRepN,learn_blocks.thisTrialN,learn_blocks.thisN,learn_blocks.thisIndex,learn_blocks.ran,block_csv
y,7.85963,BATHE,10.00798,0,0,0,0,0,1,stimuli/images/PICTURE_747.png,TOUGH,5ef767e022eb1d49042c4410,2020-06-30_19h41.03.881,proactive,2020.1.2,Win32,60,5efb791ed4cb570da489e737,5efb87255769c70f1c5f8a1e,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_658.png,DEVIL,5ef767e022eb1d49042c4410,2020-06-30_19h41.03.881,proactive,2020.1.2,Win32,60,5efb791ed4cb570da489e737,5efb87255769c70f1c5f8a1e,1,0,0,0,3,1,crow,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_727.png,CELL,5ef767e022eb1d49042c4410,2020-06-30_19h41.03.881,proactive,2020.1.2,Win32,60,5efb791ed4cb570da489e737,5efb87255769c70f1c5f8a1e,1,0,1,1,1,1,hose,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_378.png,LOSS,5ef767e022eb1d49042c4410,2020-06-30_19h41.03.881,proactive,2020.1.2,Win32,60,5efb791ed4cb570da489e737,5efb87255769c70f1c5f8a1e,1,0,2,2,2,1,lobster,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_697.png,KILLER,5ef767e022eb1d49042c4410,2020-06-30_19h41.03.881,proactive,2020.1.2,Win32,60,5efb791ed4cb570da489e737,5efb87255769c70f1c5f8a1e,1,0,3,3,4,1,peach,,,,,,,,,,,,,,,,,,,,,,,
,,LOSS,10.01125,1,,,,,,stimuli/images/PICTURE_378.png,LOSS,5ef767e022eb1d49042c4410,2020-06-30_19h41.03.881,proactive,2020.1.2,Win32,60,5efb791ed4cb570da489e737,5efb87255769c70f1c5f8a1e,1,,,,,,lobster,0,0,0,2,1,,,,,,,,,,,,,,,,,,
,,DEVIL,10.011745,1,,,,,,stimuli/images/PICTURE_658.png,DEVIL,5ef767e022eb1d49042c4410,2020-06-30_19h41.03.881,proactive,2020.1.2,Win32,60,5efb791ed4cb570da489e737,5efb87255769c70f1c5f8a1e,1,,,,,,crow,0,1,1,3,1,,,,,,,,,,,,,,,,,,
,,?,10.014915,0,,,,,,stimuli/images/PICTURE_727.png,CELL,5ef767e022eb1d49042c4410,2020-06-30_19h41.03.881,proactive,2020.1.2,Win32,60,5efb791ed4cb570da489e737,5efb87255769c70f1c5f8a1e,1,,,,,,hose,0,2,2,1,1,,,,,,,,,,,,,,,,,,
,,HATE,10.0142,0,,,,,,stimuli/images/PICTURE_697.png,KILLER,5ef767e022eb1d49042c4410,2020-06-30_19h41.03.881,proactive,2020.1.2,Win32,60,5efb791ed4cb570da489e737,5efb87255769c70f1c5f8a1e,1,,,,,,peach,0,3,3,4,1,,,,,,,,,,,,,,,,,,
,,?,10.01577,0,,,,,,stimuli/images/PICTURE_269.png,GENIUS,5ef767e022eb1d49042c4410,2020-06-30_19h41.03.881,proactive,2020.1.2,Win32,60,5efb791ed4cb570da489e737,5efb87255769c70f1c5f8a1e,1,,,,,,chameleon,0,4,4,0,1,,,,,,,,,,,,,,,,,,
