consent_key.keys,consent_key.rt,recalled,recalled_rt,recall_acc,example_recall.thisRepN,example_recall.thisTrialN,example_recall.thisN,example_recall.thisIndex,example_recall.ran,file,word,participant,please enter your date of birth (dd/mm/yyyy),date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,list,prac_learn_study_loop.thisRepN,prac_learn_study_loop.thisTrialN,prac_learn_study_loop.thisN,prac_learn_study_loop.thisIndex,prac_learn_study_loop.ran,image,prac_learn_test_loop.thisRepN,prac_learn_test_loop.thisTrialN,prac_learn_test_loop.thisN,prac_learn_test_loop.thisIndex,prac_learn_test_loop.ran,learn_study_loop.thisRepN,learn_study_loop.thisTrialN,learn_study_loop.thisN,learn_study_loop.thisIndex,learn_study_loop.ran,list_no,block_no
y,53.504445,TOUGH,9.11021,1,0,0,0,0,1,stimuli/images/PICTURE_747.png,TOUGH,5c49b156f5e26d0001479b44,12/12/1954,2020-07-09_21h10.50.705,proactive,2020.1.2,Win32,60,5f073de81c76c3308c0e4fb3,5f07799627813a387b5c1aa4,3,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_697.png,KILLER,5c49b156f5e26d0001479b44,12/12/1954,2020-07-09_21h10.50.705,proactive,2020.1.2,Win32,60,5f073de81c76c3308c0e4fb3,5f07799627813a387b5c1aa4,3,0,0,0,4,1,peach,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_269.png,GENIUS,5c49b156f5e26d0001479b44,12/12/1954,2020-07-09_21h10.50.705,proactive,2020.1.2,Win32,60,5f073de81c76c3308c0e4fb3,5f07799627813a387b5c1aa4,3,0,1,1,0,1,chameleon,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_658.png,DEVIL,5c49b156f5e26d0001479b44,12/12/1954,2020-07-09_21h10.50.705,proactive,2020.1.2,Win32,60,5f073de81c76c3308c0e4fb3,5f07799627813a387b5c1aa4,3,0,2,2,3,1,crow,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_378.png,LOSS,5c49b156f5e26d0001479b44,12/12/1954,2020-07-09_21h10.50.705,proactive,2020.1.2,Win32,60,5f073de81c76c3308c0e4fb3,5f07799627813a387b5c1aa4,3,0,3,3,2,1,lobster,,,,,,,,,,,,
,,?,15.00817,0,,,,,,stimuli/images/PICTURE_378.png,LOSS,5c49b156f5e26d0001479b44,12/12/1954,2020-07-09_21h10.50.705,proactive,2020.1.2,Win32,60,5f073de81c76c3308c0e4fb3,5f07799627813a387b5c1aa4,3,,,,,,lobster,0,0,0,2,1,,,,,,,
,,KILLER,15.01279,0,,,,,,stimuli/images/PICTURE_269.png,GENIUS,5c49b156f5e26d0001479b44,12/12/1954,2020-07-09_21h10.50.705,proactive,2020.1.2,Win32,60,5f073de81c76c3308c0e4fb3,5f07799627813a387b5c1aa4,3,,,,,,chameleon,0,1,1,0,1,,,,,,,
,,?,15.00253,0,,,,,,stimuli/images/PICTURE_697.png,KILLER,5c49b156f5e26d0001479b44,12/12/1954,2020-07-09_21h10.50.705,proactive,2020.1.2,Win32,60,5f073de81c76c3308c0e4fb3,5f07799627813a387b5c1aa4,3,,,,,,peach,0,2,2,4,1,,,,,,,
,,?,88.21351,0,,,,,,stimuli/images/PICTURE_658.png,DEVIL,5c49b156f5e26d0001479b44,12/12/1954,2020-07-09_21h10.50.705,proactive,2020.1.2,Win32,60,5f073de81c76c3308c0e4fb3,5f07799627813a387b5c1aa4,3,,,,,,crow,0,3,3,3,1,,,,,,,
,,?,15.01157,0,,,,,,stimuli/images/PICTURE_727.png,CELL,5c49b156f5e26d0001479b44,12/12/1954,2020-07-09_21h10.50.705,proactive,2020.1.2,Win32,60,5f073de81c76c3308c0e4fb3,5f07799627813a387b5c1aa4,3,,,,,,hose,0,4,4,1,1,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_453.png,FAMILY,5c49b156f5e26d0001479b44,12/12/1954,2020-07-09_21h10.50.705,proactive,2020.1.2,Win32,60,5f073de81c76c3308c0e4fb3,5f07799627813a387b5c1aa4,3,,,,,,scissors,,,,,,0,0,0,48,1,5,2
,,,,,,,,,,stimuli/images/PICTURE_123.png,SALE,5c49b156f5e26d0001479b44,12/12/1954,2020-07-09_21h10.50.705,proactive,2020.1.2,Win32,60,5f073de81c76c3308c0e4fb3,5f07799627813a387b5c1aa4,3,,,,,,dart,,,,,,0,1,1,8,1,1,2
,,,,,,,,,,stimuli/images/PICTURE_141.png,CLIENT,5c49b156f5e26d0001479b44,12/12/1954,2020-07-09_21h10.50.705,proactive,2020.1.2,Win32,60,5f073de81c76c3308c0e4fb3,5f07799627813a387b5c1aa4,3,,,,,,sunflower,,,,,,0,2,2,30,1,4,2
,,,,,,,,,,stimuli/images/PICTURE_311.png,TOILET,5c49b156f5e26d0001479b44,12/12/1954,2020-07-09_21h10.50.705,proactive,2020.1.2,Win32,60,5f073de81c76c3308c0e4fb3,5f07799627813a387b5c1aa4,3,,,,,,razor,,,,,,0,3,3,54,1,6,2
,,,,,,,,,,stimuli/images/PICTURE_327.png,LEADER,5c49b156f5e26d0001479b44,12/12/1954,2020-07-09_21h10.50.705,proactive,2020.1.2,Win32,60,5f073de81c76c3308c0e4fb3,5f07799627813a387b5c1aa4,3,,,,,,helmet,,,,,,0,4,4,17,1,2,2
,,,,,,,,,,stimuli/images/PICTURE_487.png,POLICY,5c49b156f5e26d0001479b44,12/12/1954,2020-07-09_21h10.50.705,proactive,2020.1.2,Win32,60,5f073de81c76c3308c0e4fb3,5f07799627813a387b5c1aa4,3,,,,,,basket,,,,,,0,5,5,34,1,4,2
