consent_key.keys,consent_key.rt,recalled,recalled_rt,recall_acc,example_recall.thisRepN,example_recall.thisTrialN,example_recall.thisN,example_recall.thisIndex,example_recall.ran,file,word,participant,please enter your date of birth (dd/mm/yyyy),date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,list,prac_learn_study_loop.thisRepN,prac_learn_study_loop.thisTrialN,prac_learn_study_loop.thisN,prac_learn_study_loop.thisIndex,prac_learn_study_loop.ran,image,prac_learn_test_loop.thisRepN,prac_learn_test_loop.thisTrialN,prac_learn_test_loop.thisN,prac_learn_test_loop.thisIndex,prac_learn_test_loop.ran,learn_study_loop.thisRepN,learn_study_loop.thisTrialN,learn_study_loop.thisN,learn_study_loop.thisIndex,learn_study_loop.ran,list_no,block_no
y,18.29854,Y,15.006665,0,0,0,0,0,1,stimuli/images/PICTURE_747.png,TOUGH,591d798372ab2d0001e34612,11/11/1944,2020-07-09_21h01.35.460,proactive,2020.1.2,Win32,60,5f073de81c76c3308c0e4fb3,5f077781c10cab3808bf3f4c,5,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_378.png,LOSS,591d798372ab2d0001e34612,11/11/1944,2020-07-09_21h01.35.460,proactive,2020.1.2,Win32,60,5f073de81c76c3308c0e4fb3,5f077781c10cab3808bf3f4c,5,0,0,0,2,1,lobster,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_727.png,CELL,591d798372ab2d0001e34612,11/11/1944,2020-07-09_21h01.35.460,proactive,2020.1.2,Win32,60,5f073de81c76c3308c0e4fb3,5f077781c10cab3808bf3f4c,5,0,1,1,1,1,hose,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_697.png,KILLER,591d798372ab2d0001e34612,11/11/1944,2020-07-09_21h01.35.460,proactive,2020.1.2,Win32,60,5f073de81c76c3308c0e4fb3,5f077781c10cab3808bf3f4c,5,0,2,2,4,1,peach,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_269.png,GENIUS,591d798372ab2d0001e34612,11/11/1944,2020-07-09_21h01.35.460,proactive,2020.1.2,Win32,60,5f073de81c76c3308c0e4fb3,5f077781c10cab3808bf3f4c,5,0,3,3,0,1,chameleon,,,,,,,,,,,,
,,LOSS,15.013035,1,,,,,,stimuli/images/PICTURE_378.png,LOSS,591d798372ab2d0001e34612,11/11/1944,2020-07-09_21h01.35.460,proactive,2020.1.2,Win32,60,5f073de81c76c3308c0e4fb3,5f077781c10cab3808bf3f4c,5,,,,,,lobster,0,0,0,2,1,,,,,,,
,,,15.01547,0,,,,,,stimuli/images/PICTURE_727.png,CELL,591d798372ab2d0001e34612,11/11/1944,2020-07-09_21h01.35.460,proactive,2020.1.2,Win32,60,5f073de81c76c3308c0e4fb3,5f077781c10cab3808bf3f4c,5,,,,,,hose,0,1,1,1,1,,,,,,,
,,DEVIL,15.01552,0,,,,,,stimuli/images/PICTURE_269.png,GENIUS,591d798372ab2d0001e34612,11/11/1944,2020-07-09_21h01.35.460,proactive,2020.1.2,Win32,60,5f073de81c76c3308c0e4fb3,5f077781c10cab3808bf3f4c,5,,,,,,chameleon,0,2,2,0,1,,,,,,,
,,KILLER,15.01556,1,,,,,,stimuli/images/PICTURE_697.png,KILLER,591d798372ab2d0001e34612,11/11/1944,2020-07-09_21h01.35.460,proactive,2020.1.2,Win32,60,5f073de81c76c3308c0e4fb3,5f077781c10cab3808bf3f4c,5,,,,,,peach,0,3,3,4,1,,,,,,,
,,,15.016185,0,,,,,,stimuli/images/PICTURE_658.png,DEVIL,591d798372ab2d0001e34612,11/11/1944,2020-07-09_21h01.35.460,proactive,2020.1.2,Win32,60,5f073de81c76c3308c0e4fb3,5f077781c10cab3808bf3f4c,5,,,,,,crow,0,4,4,3,1,,,,,,,
